rank,finalWorth,category,personName,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,date,cpi_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,Age as of 1 Jan 2023
21,56700,Fashion & Retail,Alice Walton,United States,"Washington, D.C.",Walmart,Fashion & Retail,United States,False,D,F,1949-10-07 00:00:00,Walton,Alice,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,74
22,54400,Media & Entertainment,David Thomson & family,Canada,Ottawa,Media,Media & Entertainment,Canada,False,U,M,1957-06-12 00:00:00,Thomson,David,4/4/2023 5:01,116.76,1736425629520.0,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771,66
23,50100,Technology,Michael Dell,United States,"Washington, D.C.",Dell Technologies,Technology,United States,True,D,M,1965-02-23 00:00:00,Dell,Michael,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,58
24,47200,Diversified,Gautam Adani,India,New Delhi,"Infrastructure, commodities",Diversified,India,True,D,M,1962-06-24 00:00:00,Adani,Gautam,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,61
25,45100,Fashion & Retail,Phil Knight & family,United States,"Washington, D.C.",Nike,Fashion & Retail,United States,True,D,M,1938-02-24 00:00:00,Knight,Phil,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,85
26,45000,Technology,Zhang Yiming,China,Beijing,TikTok,Technology,China,True,D,M,1984-01-01 00:00:00,Zhang,Yiming,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,39
27,42900,Fashion & Retail,Dieter Schwarz,Germany,Berlin,Retail,Fashion & Retail,Germany,False,D,M,1939-09-24 00:00:00,Schwarz,Dieter,4/4/2023 5:01,112.85,4072190000000.0,70.2,70.2,80.9,11.5,48.8,83132799.0,51.165691,10.451526,84
28,40100,Fashion & Retail,François Pinault & family,France,Paris,Luxury goods,Fashion & Retail,France,True,D,M,1936-08-21 00:00:00,Pinault,François,4/4/2023 5:01,110.05,2782910000000.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,87
29,39100,Logistics,Klaus-Michael Kuehne,Switzerland,Berlin,Shipping,Logistics,Germany,False,U,M,1937-06-02 00:00:00,Kuehne,Klaus-Michael,4/4/2023 5:01,99.55,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,86
30,38900,Food & Beverage,Giovanni Ferrero,Belgium,Rome,"Nutella, chocolates",Food & Beverage,Italy,False,U,M,1964-09-21 00:00:00,Ferrero,Giovanni,4/4/2023 5:01,117.11,578604000000.0,79.7,103.9,81.6,24.0,55.4,11484055.0,50.503887,4.469936,59
31,38300,Food & Beverage,Jacqueline Mars,United States,"Washington, D.C.","Candy, pet food",Food & Beverage,United States,False,U,F,1939-10-10 00:00:00,Mars,Jacqueline,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,84
31,38300,Food & Beverage,John Mars,United States,"Washington, D.C.","Candy, pet food",Food & Beverage,United States,False,U,M,1935-10-15 00:00:00,Mars,John,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,88
33,38000,Diversified,Li Ka-shing,Hong Kong,Hong Kong,Diversified,Diversified,Hong Kong,True,U,M,1928-06-13 00:00:00,Li,Ka-shing,4/4/2023 5:01,105.3,385546000000.0,84.39,84.39,85.83,20.0,0.0,7491609.0,22.396428,114.109497,95
34,35300,Technology,Ma Huateng,China,Beijing,Internet media,Technology,China,True,D,M,1971-10-29 00:00:00,Ma,Huateng,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,52
35,35000,Gambling & Casinos,Miriam Adelson & family,United States,"Washington, D.C.",Casinos,Gambling & Casinos,United States,False,U,F,1945-10-10 00:00:00,Adelson,Miriam,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,78
35,35000,Finance & Investments,Ken Griffin,United States,"Washington, D.C.",Hedge funds,Finance & Investments,United States,True,U,M,1968-10-15 00:00:00,Griffin,Ken,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,55
37,34700,Food & Beverage,Mark Mateschitz,Austria,Vienna,Red Bull,Food & Beverage,Austria,False,N,M,1992-05-07 00:00:00,Mateschitz,Mark,4/4/2023 5:01,118.06,471400000000.0,85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072,31
38,33400,Automotive,Robin Zeng,China,Hong Kong,Batteries,Automotive,Hong Kong,True,D,M,1969-01-01 00:00:00,Zeng,Robin,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,54
39,32600,Fashion & Retail,Tadashi Yanai & family,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,True,U,M,1949-02-07 00:00:00,Yanai,Tadashi,4/4/2023 5:01,105.48,4231140000000.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,74
40,32100,Diversified,Len Blavatnik,United Kingdom,"Washington, D.C.","Music, chemicals",Diversified,United States,True,D,M,1957-06-01 00:00:00,Blavatnik,Len,4/4/2023 5:01,119.62,3070670000000.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,66
41,31600,Fashion & Retail,Alain Wertheimer,United States,Paris,Chanel,Fashion & Retail,France,False,U,M,1948-08-28 00:00:00,Wertheimer,Alain,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,75
41,31600,Fashion & Retail,Gerard Wertheimer,United States,Paris,Chanel,Fashion & Retail,France,False,U,M,1951-01-09 00:00:00,Wertheimer,Gerard,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,72
43,31200,Logistics,Gianluigi Aponte,Switzerland,Bern,Shipping,Logistics,Switzerland,True,Split Family Fortune,M,1940-06-27 00:00:00,Aponte,Gianluigi,4/4/2023 5:01,99.55,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,83
43,31200,Logistics,Rafaela Aponte-Diamant,Switzerland,Bern,Shipping,Logistics,Switzerland,True,Split Family Fortune,F,1945-03-26 00:00:00,Aponte-Diamant,Rafaela,4/4/2023 5:01,99.55,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,78
45,30200,Technology,Colin Zheng Huang,China,Beijing,E-commerce,Technology,China,True,U,M,1980-02-02 00:00:00,Huang,Colin Zheng,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,43
46,29700,Manufacturing,Reinhold Wuerth & family,Germany,Berlin,Fasteners,Manufacturing,Germany,True,U,M,1935-04-20 00:00:00,Wuerth,Reinhold,4/4/2023 5:01,112.85,4072190000000.0,70.2,70.2,80.9,11.5,48.8,83132799.0,51.165691,10.451526,88
47,29500,Real Estate,Lee Shau Kee,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,True,D,M,1928-01-29 00:00:00,Lee,Shau Kee,4/4/2023 5:01,105.3,385546000000.0,84.39,84.39,85.83,20.0,0.0,7491609.0,22.396428,114.109497,95
48,28500,Finance & Investments,Jeff Yass,United States,"Washington, D.C.","Trading, investments",Finance & Investments,United States,True,U,M,1958-07-17 00:00:00,Yass,Jeff,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,65
49,28100,Finance & Investments,Jim Simons,United States,"Washington, D.C.",Hedge funds,Finance & Investments,United States,True,D,M,1938-04-25 00:00:00,Simons,Jim,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,85
50,27800,Finance & Investments,Stephen Schwarzman,United States,"Washington, D.C.",Investments,Finance & Investments,United States,True,D,M,1947-02-14 00:00:00,Schwarzman,Stephen,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,76
51,27400,Automotive,Susanne Klatten,Germany,Berlin,"BMW, pharmaceuticals",Automotive,Germany,False,U,F,1962-04-28 00:00:00,Klatten,Susanne,4/4/2023 5:01,112.85,4072190000000.0,70.2,70.2,80.9,11.5,48.8,83132799.0,51.165691,10.451526,61
52,27000,Metals & Mining,Gina Rinehart,Australia,Canberra,Mining,Metals & Mining,Australia,False,D,F,1954-02-09 00:00:00,Rinehart,Gina,4/4/2023 5:01,119.8,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136,69
53,26700,Technology,William Ding,China,Beijing,Online games,Technology,China,True,U,M,1971-10-01 00:00:00,Ding,William,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,52
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,Mexico,Mexico City,Mining,Metals & Mining,Mexico,False,D,M,1953-10-26 00:00:00,Larrea Mota Velasco,Germán,4/4/2023 5:01,141.54,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784,70
55,25600,Technology,Shiv Nadar,India,New Delhi,software services,Technology,India,True,D,M,1945-07-18 00:00:00,Nadar,Shiv,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,78
56,25500,Energy,Low Tuck Kwong,Indonesia,Jakarta,Coal,Energy,Indonesia,True,U,M,1948-04-17 00:00:00,Low Tuck,Kwong,4/4/2023 5:01,151.18,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,75
57,25300,Finance & Investments,Thomas Peterffy,United States,"Washington, D.C.",Discount brokerage,Finance & Investments,United States,True,U,M,1944-09-30 00:00:00,Peterffy,Thomas,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,79
58,25200,Metals & Mining,Andrey Melnichenko & family,United Arab Emirates,Moscow,"Fertilizers, coal",Metals & Mining,Russia,True,U,M,1972-03-08 00:00:00,Melnichenko,Andrey,4/4/2023 5:01,114.52,421142267938.0,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818,51
59,24600,Automotive,Stefan Quandt,Germany,Berlin,BMW,Automotive,Germany,False,U,M,1966-05-09 00:00:00,Quandt,Stefan,4/4/2023 5:01,112.85,4072190000000.0,70.2,70.2,80.9,11.5,48.8,83132799.0,51.165691,10.451526,57
60,24400,Technology,MacKenzie Scott,United States,"Washington, D.C.",Amazon,Technology,United States,False,D,F,1970-04-07 00:00:00,Scott,MacKenzie,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,53
61,24200,Finance & Investments,R. Budi Hartono,Indonesia,Jakarta,"Banking, tobacco",Finance & Investments,Indonesia,False,U,M,1941-01-01 00:00:00,Hartono,R. Budi,4/4/2023 5:01,151.18,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,82
62,23700,Metals & Mining,Vladimir Potanin,Russia,Moscow,Metals,Metals & Mining,Russia,True,U,M,1961-01-03 00:00:00,Potanin,Vladimir,4/4/2023 5:01,180.75,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,62
63,23500,Technology,Jack Ma,China,Beijing,E-commerce,Technology,China,True,U,M,1964-09-10 00:00:00,Ma,Jack,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,59
64,23400,Manufacturing,He Xiangjian & family,China,Beijing,Home appliances,Manufacturing,China,True,D,M,1942-08-11 00:00:00,He,Xiangjian,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,81
65,23100,Metals & Mining,Iris Fontbona & family,Chile,Santiago,Mining,Metals & Mining,Chile,False,U,F,1943-01-01 00:00:00,Fontbona,Iris,4/4/2023 5:01,131.91,282318159745.0,88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675147,-71.542969,80
65,23100,Manufacturing,Michael Hartono,Indonesia,Jakarta,"Banking, tobacco",Manufacturing,Indonesia,False,U,M,1939-10-02 00:00:00,Hartono,Michael,4/4/2023 5:01,151.18,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,84
67,22900,Manufacturing,James Ratcliffe,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,True,U,M,1953-01-01 00:00:00,Ratcliffe,James,4/4/2023 5:01,119.62,3070670000000.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,70
68,22600,Healthcare,Cyrus Poonawalla,India,New Delhi,Vaccines,Healthcare,India,False,D,M,1941-05-11 00:00:00,Poonawalla,Cyrus,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,82
69,22400,Telecom,Masayoshi Son,Japan,Tokyo,"Internet, telecom",Telecom,Japan,True,U,M,1957-08-11 00:00:00,Son,Masayoshi,4/4/2023 5:01,105.48,4231140000000.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,66
70,22100,Metals & Mining,Vladimir Lisin,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,True,U,M,1956-05-07 00:00:00,Lisin,Vladimir,4/4/2023 5:01,180.75,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,67
71,22000,Food & Beverage,Emmanuel Besnier,France,Paris,Cheese,Food & Beverage,France,False,D,M,1970-09-18 00:00:00,Besnier,Emmanuel,4/4/2023 5:01,110.05,2782910000000.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,53
72,21600,Finance & Investments,Abigail Johnson,United States,"Washington, D.C.",Fidelity,Finance & Investments,United States,False,U,F,1961-12-19 00:00:00,Johnson,Abigail,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,62
72,21600,Energy,Leonid Mikhelson & family,Russia,Moscow,"Gas, chemicals",Energy,Russia,True,U,M,1955-08-11 00:00:00,Mikhelson,Leonid,4/4/2023 5:01,180.75,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,68
74,21200,Fashion & Retail,Lukas Walton,United States,"Washington, D.C.",Walmart,Fashion & Retail,United States,False,U,M,1986-09-19 00:00:00,Walton,Lukas,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,37
74,21200,Service,Wang Wei,China,Beijing,Package delivery,Service,China,True,D,M,1970-10-01 00:00:00,Wang,Wei,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,53
76,21100,Technology,Jensen Huang,United States,"Washington, D.C.",Semiconductors,Technology,United States,True,U,M,1963-02-17 00:00:00,Huang,Jensen,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,60
77,21000,Fashion & Retail,Leonard Lauder,United States,"Washington, D.C.",Estee Lauder,Fashion & Retail,United States,False,D,M,1933-03-19 00:00:00,Lauder,Leonard,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,90
77,21000,Manufacturing,Takemitsu Takizaki,Japan,Tokyo,Sensors,Manufacturing,Japan,True,D,M,1945-06-10 00:00:00,Takizaki,Takemitsu,4/4/2023 5:01,105.48,4231140000000.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,78
79,20900,Metals & Mining,Alexey Mordashov & family,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,True,U,M,1965-09-26 00:00:00,Mordashov,Alexey,4/4/2023 5:01,180.75,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,58
80,20500,Energy,Vagit Alekperov,Russia,Moscow,Oil,Energy,Russia,True,U,M,1950-09-01 00:00:00,Alekperov,Vagit,4/4/2023 5:01,180.75,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,73
81,20200,Healthcare,"Thomas Frist, Jr. & family",United States,"Washington, D.C.",Hospitals,Healthcare,United States,True,D,M,1938-08-12 00:00:00,Frist,Thomas,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,85
82,19600,Metals & Mining,Andrew Forrest,Australia,Canberra,Mining,Metals & Mining,Australia,True,U,M,1961-11-18 00:00:00,Forrest,Andrew,4/4/2023 5:01,119.8,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136,62
83,19100,Finance & Investments,Ray Dalio,United States,"Washington, D.C.",Hedge funds,Finance & Investments,United States,True,D,M,1949-08-08 00:00:00,Dalio,Ray,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,74
84,19000,Automotive,Eric Li,China,Beijing,Automobiles,Automotive,China,True,D,M,1963-06-01 00:00:00,Li,Eric,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,60
84,19000,Metals & Mining,Wang Wenyin,China,Beijing,"Mining, copper products",Metals & Mining,China,True,U,M,1968-03-01 00:00:00,Wang,Wenyin,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,55
86,18900,Diversified,Eyal Ofer,Monaco,Jerusalem,"Real estate, shipping",Diversified,Israel,False,U,M,1950-06-02 00:00:00,Ofer,Eyal,4/4/2023 5:01,113.0,7184844193.0,30.0,127.0,89.52,24.0,0.0,38964.0,43.7384176,7.4246158,73
86,18900,Food & Beverage,Qin Yinglin,China,Beijing,Pig breeding,Food & Beverage,China,True,D,M,1965-04-17 00:00:00,Qin,Yinglin,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,58
88,18700,Automotive,Wang Chuanfu,China,Beijing,"Batteries, automobiles",Automotive,China,True,D,M,1966-02-15 00:00:00,Wang,Chuanfu,4/4/2023 5:01,125.08,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,57
89,18500,Energy,Harold Hamm & family,United States,"Washington, D.C.",Oil & gas,Energy,United States,True,U,M,1945-12-11 00:00:00,Hamm,Harold,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,78
89,18500,Finance & Investments,David Tepper,United States,"Washington, D.C.",Hedge funds,Finance & Investments,United States,True,U,M,1957-09-11 00:00:00,Tepper,David,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,66
89,18500,Energy,Gennady Timchenko,Russia,Moscow,"Oil, gas",Energy,Russia,True,U,M,1952-11-09 00:00:00,Timchenko,Gennady,4/4/2023 5:01,180.75,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,71
92,18000,Finance & Investments,Daniel Gilbert,United States,"Washington, D.C.",Quicken Loans,Finance & Investments,United States,True,D,M,1962-01-17 00:00:00,Gilbert,Daniel,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,61
93,17700,Metals & Mining,Lakshmi Mittal,United Kingdom,New Delhi,Steel,Metals & Mining,India,False,D,M,1950-06-15 00:00:00,Mittal,Lakshmi,4/4/2023 5:01,119.62,3070670000000.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,73
94,17500,Finance & Investments,Steve Cohen,United States,"Washington, D.C.",Hedge funds,Finance & Investments,United States,True,U,M,1956-06-11 00:00:00,Cohen,Steve,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,67
94,17500,Finance & Investments,Carl Icahn,United States,"Washington, D.C.",Investments,Finance & Investments,United States,True,U,M,1936-02-16 00:00:00,Icahn,Carl,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,87
94,17500,Metals & Mining,Savitri Jindal & family,India,New Delhi,Steel,Metals & Mining,India,False,D,F,1950-03-20 00:00:00,Jindal,Savitri,4/4/2023 5:01,180.44,3385090000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,73
97,17400,Real Estate,Donald Bren,United States,"Washington, D.C.",Real estate,Real Estate,United States,True,U,M,1932-05-11 00:00:00,Bren,Donald,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,91
97,17400,Fashion & Retail,"John Menard, Jr.",United States,"Washington, D.C.",Home improvement stores,Fashion & Retail,United States,True,U,M,1940-01-22 00:00:00,Menard,John,4/4/2023 5:01,117.24,25462700000000.0,88.0,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,83
