"personId","personName","gender","birthDate","lastName","firstName","countryOfCitizenship","age"
"33","Li Ka-shing","M","1928-06-13 00:00:00","Li","Ka-shing","Hong Kong","95"
"34","Ma Huateng","M","1971-10-29 00:00:00","Ma","Huateng","China","52"
"35","Miriam Adelson & family","F","1945-10-10 00:00:00","Adelson","Miriam","United States","78"
"36","Ken Griffin","M","1968-10-15 00:00:00","Griffin","Ken","United States","55"
"37","Mark Mateschitz","M","1992-05-07 00:00:00","Mateschitz","Mark","Austria","31"
"38","Robin Zeng","M","1969-01-01 00:00:00","Zeng","Robin","Hong Kong","54"
"39","Tadashi Yanai & family","M","1949-02-07 00:00:00","Yanai","Tadashi","Japan","74"
"40","Len Blavatnik","M","1957-06-01 00:00:00","Blavatnik","Len","United States","66"
"41","Alain Wertheimer","M","1948-08-28 00:00:00","Wertheimer","Alain","France","75"
"42","Gerard Wertheimer","M","1951-01-09 00:00:00","Wertheimer","Gerard","France","72"
"43","Gianluigi Aponte","M","1940-06-27 00:00:00","Aponte","Gianluigi","Switzerland","83"
"44","Rafaela Aponte-Diamant","F","1945-03-26 00:00:00","Aponte-Diamant","Rafaela","Switzerland","78"
"45","Colin Zheng Huang","M","1980-02-02 00:00:00","Huang","Colin Zheng","China","43"
"46","Reinhold Wuerth & family","M","1935-04-20 00:00:00","Wuerth","Reinhold","Germany","88"
"47","Lee Shau Kee","M","1928-01-29 00:00:00","Lee","Shau Kee","Hong Kong","95"
"48","Jeff Yass","M","1958-07-17 00:00:00","Yass","Jeff","United States","65"
"49","Jim Simons","M","1938-04-25 00:00:00","Simons","Jim","United States","85"
"50","Stephen Schwarzman","M","1947-02-14 00:00:00","Schwarzman","Stephen","United States","76"
"51","Susanne Klatten","F","1962-04-28 00:00:00","Klatten","Susanne","Germany","61"
"52","Gina Rinehart","F","1954-02-09 00:00:00","Rinehart","Gina","Australia","69"
"53","William Ding","M","1971-10-01 00:00:00","Ding","William","China","52"
"54","Germán Larrea Mota Velasco & family","M","1953-10-26 00:00:00","Larrea Mota Velasco","Germán","Mexico","70"
"55","Shiv Nadar","M","1945-07-18 00:00:00","Nadar","Shiv","India","78"
"56","Low Tuck Kwong","M","1948-04-17 00:00:00","Low Tuck","Kwong","Indonesia","75"
"57","Thomas Peterffy","M","1944-09-30 00:00:00","Peterffy","Thomas","United States","79"
"58","Andrey Melnichenko & family","M","1972-03-08 00:00:00","Melnichenko","Andrey","Russia","51"
"59","Stefan Quandt","M","1966-05-09 00:00:00","Quandt","Stefan","Germany","57"
"60","MacKenzie Scott","F","1970-04-07 00:00:00","Scott","MacKenzie","United States","53"
"61","R. Budi Hartono","M","1941-01-01 00:00:00","Hartono","R. Budi","Indonesia","82"
"62","Vladimir Potanin","M","1961-01-03 00:00:00","Potanin","Vladimir","Russia","62"
"63","Jack Ma","M","1964-09-10 00:00:00","Ma","Jack","China","59"
"64","He Xiangjian & family","M","1942-08-11 00:00:00","He","Xiangjian","China","81"
"65","Iris Fontbona & family","F","1943-01-01 00:00:00","Fontbona","Iris","Chile","80"
"66","Michael Hartono","M","1939-10-02 00:00:00","Hartono","Michael","Indonesia","84"
"67","James Ratcliffe","M","1953-01-01 00:00:00","Ratcliffe","James","United Kingdom","70"
"68","Cyrus Poonawalla","M","1941-05-11 00:00:00","Poonawalla","Cyrus","India","82"
"69","Masayoshi Son","M","1957-08-11 00:00:00","Son","Masayoshi","Japan","66"
"70","Vladimir Lisin","M","1956-05-07 00:00:00","Lisin","Vladimir","Russia","67"
"71","Emmanuel Besnier","M","1970-09-18 00:00:00","Besnier","Emmanuel","France","53"
"72","Abigail Johnson","F","1961-12-19 00:00:00","Johnson","Abigail","United States","62"
"73","Leonid Mikhelson & family","M","1955-08-11 00:00:00","Mikhelson","Leonid","Russia","68"
"74","Lukas Walton","M","1986-09-19 00:00:00","Walton","Lukas","United States","37"
"75","Wang Wei","M","1970-10-01 00:00:00","Wang","Wei","China","53"
"76","Jensen Huang","M","1963-02-17 00:00:00","Huang","Jensen","United States","60"
"77","Leonard Lauder","M","1933-03-19 00:00:00","Lauder","Leonard","United States","90"
"78","Takemitsu Takizaki","M","1945-06-10 00:00:00","Takizaki","Takemitsu","Japan","78"
"79","Alexey Mordashov & family","M","1965-09-26 00:00:00","Mordashov","Alexey","Russia","58"
"80","Vagit Alekperov","M","1950-09-01 00:00:00","Alekperov","Vagit","Russia","73"
"81","Thomas Frist, Jr. & family","M","1938-08-12 00:00:00","Frist","Thomas","United States","85"
"82","Andrew Forrest","M","1961-11-18 00:00:00","Forrest","Andrew","Australia","62"
"83","Ray Dalio","M","1949-08-08 00:00:00","Dalio","Ray","United States","74"
"84","Eric Li","M","1963-06-01 00:00:00","Li","Eric","China","60"
"85","Wang Wenyin","M","1968-03-01 00:00:00","Wang","Wenyin","China","55"
"86","Eyal Ofer","M","1950-06-02 00:00:00","Ofer","Eyal","Israel","73"
"87","Qin Yinglin","M","1965-04-17 00:00:00","Qin","Yinglin","China","58"
"88","Wang Chuanfu","M","1966-02-15 00:00:00","Wang","Chuanfu","China","57"
"89","Harold Hamm & family","M","1945-12-11 00:00:00","Hamm","Harold","United States","78"
"90","David Tepper","M","1957-09-11 00:00:00","Tepper","David","United States","66"
"91","Gennady Timchenko","M","1952-11-09 00:00:00","Timchenko","Gennady","Russia","71"
"92","Daniel Gilbert","M","1962-01-17 00:00:00","Gilbert","Daniel","United States","61"
"93","Lakshmi Mittal","M","1950-06-15 00:00:00","Mittal","Lakshmi","India","73"
"94","Steve Cohen","M","1956-06-11 00:00:00","Cohen","Steve","United States","67"
"95","Carl Icahn","M","1936-02-16 00:00:00","Icahn","Carl","United States","87"
"96","Savitri Jindal & family","F","1950-03-20 00:00:00","Jindal","Savitri","India","73"
"97","Donald Bren","M","1932-05-11 00:00:00","Bren","Donald","United States","91"
"98","John Menard, Jr.","M","1940-01-22 00:00:00","Menard","John","United States","83"
"99","Rupert Murdoch & family","M","1931-03-11 00:00:00","Murdoch","Rupert","United States","92"
"100","Vicky Safra & family","F","1953-01-01 00:00:00","Safra","Vicky","Brazil","70"
"101","Theo Albrecht, Jr. & family","M","1951-01-01 00:00:00","Albrecht","Theo","Germany","72"
"102","Renata Kellnerova & family","F","1967-07-04 00:00:00","Kellnerova","Renata","Czech Republic","56"
"103","Li Xiting","M","1951-01-01 00:00:00","Li","Xiting","Singapore","72"
"104","Stefan Persson","M","1947-10-04 00:00:00","Persson","Stefan","Sweden","76"
"105","Eric Schmidt","M","1955-04-27 00:00:00","Schmidt","Eric","United States","68"
"106","Michael Platt","M","1968-03-18 00:00:00","Platt","Michael","United Kingdom","55"
"107","Pang Kang","M","1956-01-19 00:00:00","Pang","Kang","China","67"
"108","Karl Albrecht Jr. & family","M","1948-04-20 00:00:00","Albrecht Jr.","Karl","Germany","75"
"109","Beate Heister","F","1951-10-05 00:00:00","Heister","Beate","Germany","72"
"110","Jorge Paulo Lemann & family","M","1939-08-26 00:00:00","Lemann","Jorge Paulo","Brazil","84"
"111","Peter Woo","M","1946-09-05 00:00:00","Woo","Peter","Hong Kong","77"
"112","Dilip Shanghvi","M","1955-10-01 00:00:00","Shanghvi","Dilip","India","68"
"113","Robert Pera","M","1978-03-10 00:00:00","Pera","Robert","United States","45"
"114","Radhakishan Damani","M","1955-01-01 00:00:00","Damani","Radhakishan","India","68"
"115","Huang Shilin","M","1967-01-01 00:00:00","Huang","Shilin","China","56"
"116","Dhanin Chearavanont","M","1939-04-19 00:00:00","Chearavanont","Dhanin","Thailand","84"
"117","David Green & family","M","1941-11-13 00:00:00","Green","David","United States","82"
"118","Charoen Sirivadhanabhakdi","M","1944-05-02 00:00:00","Sirivadhanabhakdi","Charoen","Thailand","79"
"119","Charlene de Carvalho-Heineken & family","F","1954-06-30 00:00:00","de Carvalho-Heineken","Charlene","Netherlands","69"
"120","Xu Hang","M","1962-05-22 00:00:00","Xu","Hang","Hong Kong","61"
"121","Wei Jianjun & family","M","1964-03-01 00:00:00","Wei","Jianjun","China","59"
"122","Alisher Usmanov","M","1953-09-09 00:00:00","Usmanov","Alisher","Russia","70"
"123","Goh Cheng Liang","M","1927-06-27 00:00:00","Goh","Cheng Liang","Singapore","96"
"124","Kumar Birla","M","1967-06-14 00:00:00","Birla","Kumar","India","56"
"125","Aliko Dangote","M","1957-04-10 00:00:00","Dangote","Aliko","Nigeria","66"
"126","Kwong Siu-hing","F","1929-12-02 00:00:00","Kwong","Siu-hing","Hong Kong","94"
"127","Idan Ofer","M","1955-10-02 00:00:00","Ofer","Idan","Israel","68"
"128","Chen Bang","M","1965-09-01 00:00:00","Chen","Bang","China","58"
"129","Lui Che Woo","M","1929-04-01 00:00:00","Lui","Che Woo","Hong Kong","94"
"130","John Fredriksen","M","1945-02-01 00:00:00","Fredriksen","John","Cyprus","78"
"131","Diane Hendricks","F","1947-03-02 00:00:00","Hendricks","Diane","United States","76"
"132","Jan Koum","M","1976-02-24 00:00:00","Koum","Jan","United States","47"
"133","Jerry Jones","M","1942-10-13 00:00:00","Jones","Jerry","United States","81"
"134","George Kaiser","M","1942-07-29 00:00:00","Kaiser","George","United States","81"
"135","Joseph Lau","M","1951-07-21 00:00:00","Lau","Joseph","Hong Kong","72"
"136","Lu Xiangyang","M","1962-12-28 00:00:00","Lu","Xiangyang","China","61"
"137","Harry Triguboff","M","1933-03-03 00:00:00","Triguboff","Harry","Australia","90"
"138","Uday Kotak","M","1959-03-15 00:00:00","Kotak","Uday","India","64"
"139","Stanley Kroenke","M","1947-07-29 00:00:00","Kroenke","Stanley","United States","76"
"140","Mikhail Fridman","M","1964-04-21 00:00:00","Fridman","Mikhail","Russia","59"
"141","Sarath Ratanavadi","M","1965-07-12 00:00:00","Ratanavadi","Sarath","Thailand","58"
"142","Dang Yanbao","M","1973-02-01 00:00:00","Dang","Yanbao","China","50"
"143","Jiang Rensheng & family","M","1953-10-08 00:00:00","Jiang","Rensheng","China","70"
"144","Shahid Khan","M","1950-07-18 00:00:00","Khan","Shahid","United States","73"
"145","Laurene Powell Jobs & family","F","1963-11-06 00:00:00","Powell Jobs","Laurene","United States","60"
"146","Robert Kuok","M","1923-10-06 00:00:00","Kuok","Robert","Malaysia","100"
"147","Stephen Ross","M","1940-05-10 00:00:00","Ross","Stephen","United States","83"
"148","Pavel Durov","M","1984-10-10 00:00:00","Durov","Pavel","United Arab Emirates","39"
"149","Andreas Struengmann & family","M","1950-02-16 00:00:00","Struengmann","Andreas","Germany","73"
"150","Thomas Struengmann & family","M","1950-02-16 00:00:00","Struengmann","Thomas","Germany","73"
"151","Liu Hanyuan","M","1964-01-01 00:00:00","Liu","Hanyuan","China","59"
"152","Michael Rubin","M","1972-07-21 00:00:00","Rubin","Michael","United States","51"
"153","Israel Englander","M","1948-09-30 00:00:00","Englander","Israel","United States","75"
"154","Viatcheslav Kantor","M","1953-09-08 00:00:00","Kantor","Viatcheslav","Russia","70"
"155","Anthony Pratt","M","1960-04-11 00:00:00","Pratt","Anthony","Australia","63"
"156","Mikhail Prokhorov","M","1965-05-03 00:00:00","Prokhorov","Mikhail","Russia","58"
"157","Giorgio Armani","M","1934-07-11 00:00:00","Armani","Giorgio","Italy","89"
"158","Johann Rupert & family","M","1950-06-01 00:00:00","Rupert","Johann","South Africa","73"
"159","Gong Hongjia & family","M","1965-01-01 00:00:00","Gong","Hongjia","Hong Kong","58"
"160","Zhang Zhidong","M","1972-01-01 00:00:00","Zhang","Zhidong","China","51"
"161","Philip Anschutz","M","1939-12-28 00:00:00","Anschutz","Philip","United States","84"
"162","Judy Love & family","F","1937-06-17 00:00:00","Love","Judy","United States","86"
"163","Ricardo Salinas Pliego & family","M","1955-10-19 00:00:00","Salinas Pliego","Ricardo","Mexico","68"
"164","Donald Newhouse","M","1929-08-05 00:00:00","Newhouse","Donald","United States","94"
"165","Robert Kraft","M","1941-06-05 00:00:00","Kraft","Robert","United States","82"
"166","Marcel Herrmann Telles","M","1950-01-01 00:00:00","Telles","Marcel Herrmann","Brazil","73"
"167","Suleiman Kerimov & family","M","1966-03-12 00:00:00","Kerimov & family","Suleiman","Russia","57"
"168","Sky Xu","M","1984-01-01 00:00:00","Xu","Sky","China","39"
"169","Changpeng Zhao","M","1977-09-10 00:00:00","Zhao","Changpeng","Canada","46"
"170","Andrew Beal","M","1952-11-29 00:00:00","Beal","Andrew","United States","71"
"171","Mike Cannon-Brookes","M","1979-11-17 00:00:00","Cannon-Brookes","Mike","Australia","44"
"172","Carl Cook","M","1962-08-19 00:00:00","Cook","Carl","United States","61"
"173","David Duffield","M","1940-09-21 00:00:00","Duffield","David","United States","83"
"174","Jeffery Hildebrand","M","1959-03-05 00:00:00","Hildebrand","Jeffery","United States","64"
"175","Viktor Rashnikov","M","1948-10-13 00:00:00","Rashnikov","Viktor","Russia","75"
"176","Eduardo Saverin","M","1982-03-19 00:00:00","Saverin","Eduardo","Brazil","41"
"177","Georg Schaeffler","M","1964-10-19 00:00:00","Schaeffler","Georg","Germany","59"
"178","Christy Walton","F","1949-02-08 00:00:00","Walton","Christy","United States","74"
"179","Scott Farquhar","M","1979-12-17 00:00:00","Farquhar","Scott","Australia","44"
"180","Quek Leng Chan","M","1941-08-12 00:00:00","Quek","Leng Chan","Malaysia","82"
"181","Wu Yajun","F","1964-01-01 00:00:00","Wu","Yajun","China","59"
"182","Autry Stephens","M","1938-03-08 00:00:00","Stephens","Autry","United States","85"
"183","Liu Yongxing","M","1948-06-01 00:00:00","Liu","Yongxing","China","75"
"184","Vinod Adani","M","1949-01-10 00:00:00","Adani","Vinod","Cyprus","74"
"185","Nicolas Puech","M","1943-01-29 00:00:00","Puech","Nicolas","France","80"
"186","Jacques Saadé, Jr.","M","1971-08-10 00:00:00","Saadé","Jacques","France","52"
"187","Rodolphe Saadé","M","1970-03-03 00:00:00","Saadé","Rodolphe","France","53"
"188","Tanya Saadé Zeenny","F","1968-02-01 00:00:00","Saadé Zeenny","Tanya","France","55"
"189","Melker Schorling & family","M","1947-05-15 00:00:00","Schorling","Melker","Sweden","76"
"190","Andrei Guriev & family","M","1960-03-24 00:00:00","Guriev & family","Andrei","Russia","63"
"191","Michael Kim","M","1963-10-01 00:00:00","Kim","Michael","United States","60"
"192","Lei Jun","M","1969-12-16 00:00:00","Lei","Jun","China","54"
"193","Friedhelm Loh","M","1946-08-15 00:00:00","Loh","Friedhelm","Germany","77"
"194","Sun Piaoyang","M","1958-09-01 00:00:00","Sun","Piaoyang","China","65"
"195","Rick Cohen & family","M","1952-07-25 00:00:00","Cohen","Rick","United States","71"
"196","Jin Baofang","M","1952-09-01 00:00:00","Jin","Baofang","China","71"
"197","Luo Liguo & family","M","1956-03-01 00:00:00","Luo","Liguo","China","67"
"198","Marijke Mars","F","1964-07-28 00:00:00","Mars","Marijke","United States","59"
"199","Pamela Mars","F","1960-08-01 00:00:00","Mars","Pamela","United States","63"
"200","Valerie Mars","F","1959-01-26 00:00:00","Mars","Valerie","United States","64"
"201","Victoria Mars","F","1956-12-15 00:00:00","Mars","Victoria","United States","67"
"202","Vincent Bolloré & family","M","1952-04-01 00:00:00","Bolloré","Vincent","France","71"
"203","Jim Pattison","M","1928-10-01 00:00:00","Pattison","Jim","Canada","95"
"204","Ernesto Bertarelli","M","1965-09-22 00:00:00","Bertarelli","Ernesto","Switzerland","58"
"205","Wang Xing","M","1979-02-18 00:00:00","Wang","Xing","China","44"
"206","Brian Chesky","M","1981-08-29 00:00:00","Chesky","Brian","United States","42"
"207","James Dyson","M","1947-05-02 00:00:00","Dyson","James","United Kingdom","76"
"208","Roman Abramovich & family","M","1966-10-24 00:00:00","Abramovich","Roman","Russia","57"
"209","Antonia Ax:son Johnson & family","F","1943-09-06 00:00:00","Ax:son Johnson","Antonia","Sweden","80"
"210","Daniel Kretinsky","M","1975-07-09 00:00:00","Kretinsky","Daniel","Czech Republic","48"
"211","John Malone","M","1941-03-07 00:00:00","Malone","John","United States","82"
"212","Azim Premji","M","1945-07-24 00:00:00","Premji","Azim","India","78"
"213","Charles Schwab","M","1937-07-29 00:00:00","Schwab","Charles","United States","86"
"214","Eric Smidt","M","1960-01-01 00:00:00","Smidt","Eric","United States","63"
"215","David Cheriton","M","1951-03-29 00:00:00","Cheriton","David","Canada","72"
"216","Ivan Glasenberg","M","1957-01-07 00:00:00","Glasenberg","Ivan","Switzerland","66"
"217","Alexander Otto","M","1967-07-07 00:00:00","Otto","Alexander","Germany","56"
"218","Anthony von Mandl","M","1950-03-10 00:00:00","von Mandl","Anthony","Canada","73"
"219","Wang Liping & family","M","1966-02-24 00:00:00","Wang","Liping","China","57"
"220","Finn Rausing","M","1955-01-01 00:00:00","Rausing","Finn","Sweden","68"
"221","Jorn Rausing","M","1960-01-01 00:00:00","Rausing","Jorn","Sweden","63"
"222","Kirsten Rausing","F","1952-06-06 00:00:00","Rausing","Kirsten","Sweden","71"
"223","Tatyana Bakalchuk","F","1975-10-16 00:00:00","Bakalchuk","Tatyana","Russia","48"
"224","John Doerr","M","1951-06-29 00:00:00","Doerr","John","United States","72"
"225","Richard Liu","M","1974-03-10 00:00:00","Liu","Richard","China","49"
"226","Dustin Moskovitz","M","1984-05-22 00:00:00","Moskovitz","Dustin","United States","39"
"227","Pierre Omidyar","M","1967-06-21 00:00:00","Omidyar","Pierre","United States","56"
"228","Pei Zhenhua","M","1959-01-01 00:00:00","Pei","Zhenhua","China","64"
"229","Carrie Perrodo & family","F","1951-01-01 00:00:00","Perrodo","Carrie","France","72"
"230","Chen Jianhua","M","1971-01-01 00:00:00","Chen","Jianhua","China","52"
"231","Michael Otto","M","1943-04-12 00:00:00","Otto","Michael","Germany","80"
"232","Leon Black","M","1951-07-31 00:00:00","Black","Leon","United States","72"
"233","Graeme Hart","M","1955-06-06 00:00:00","Hart","Graeme","New Zealand","68"
"234","Ravi Jaipuria","M","1954-11-28 00:00:00","Jaipuria","Ravi","India","69"
"235","Hasso Plattner & family","M","1944-01-21 00:00:00","Plattner","Hasso","Germany","79"
"236","Carlos Alberto Sicupira & family","M","1948-01-01 00:00:00","Sicupira","Carlos Alberto","Brazil","75"
"237","Manuel Villar","M","1949-12-13 00:00:00","Villar","Manuel","Philippines","74"
"238","Andreas von Bechtolsheim & family","M","1955-09-30 00:00:00","von Bechtolsheim","Andreas","Germany","68"
"239","Chase Coleman, III.","M","1975-06-21 00:00:00","Coleman","Chase","United States","48"
"240","Ann Walton Kroenke","F","1948-12-18 00:00:00","Kroenke","Ann Walton","United States","75"
"241","Li Zhenguo & family","M","1968-01-01 00:00:00","Li","Zhenguo","China","55"
"242","Jim Kennedy","M","1947-11-29 00:00:00","Kennedy","Jim","United States","76"
"243","Nicky Oppenheimer & family","M","1945-06-08 00:00:00","Oppenheimer","Nicky","South Africa","78"
"244","Blair Parry-Okeden","F","1950-05-21 00:00:00","Parry-Okeden","Blair","United States","73"
"245","Zheng Shuliang & family","F","1946-01-01 00:00:00","Zheng","Shuliang","China","77"
"246","John Morris","M","1948-03-19 00:00:00","Morris","John","United States","75"
"247","Stefano Pessina","M","1941-06-04 00:00:00","Pessina","Stefano","Monaco","82"
"248","Francine von Finck & family","F","1968-05-02 00:00:00","von Finck","Francine","Germany","55"
"249","Francis Choi","M","1947-09-18 00:00:00","Choi","Francis","Hong Kong","76"
"250","German Khan","M","1961-10-24 00:00:00","Khan","German","Russia","62"
"251","Abdulsamad Rabiu","M","1960-08-04 00:00:00","Rabiu","Abdulsamad","Nigeria","63"
"252","George Roberts","M","1943-09-14 00:00:00","Roberts","George","United States","80"
"253","Kushal Pal Singh","M","1931-08-15 00:00:00","Singh","Kushal Pal","India","92"
"254","Wang Jianlin","M","1954-10-01 00:00:00","Wang","Jianlin","China","69"
"255","Yang Huiyan & family","F","1981-09-27 00:00:00","Yang","Huiyan","China","42"
"256","Laurent Dassault","M","1953-07-07 00:00:00","Dassault","Laurent","France","70"
"257","Thierry Dassault","M","1957-03-26 00:00:00","Dassault","Thierry","France","66"
"258","Tilman Fertitta","M","1957-06-25 00:00:00","Fertitta","Tilman","United States","66"
"259","Marie-Hélène Habert-Dassault","F","1965-04-04 00:00:00","Habert-Dassault","Marie-Hélène","France","58"
"260","Karel Komarek","M","1969-03-15 00:00:00","Komarek","Karel","Czech Republic","54"
"261","Nathan Blecharczyk","M","1983-06-11 00:00:00","Blecharczyk","Nathan","United States","40"
"262","Leonid Fedun","M","1956-04-05 00:00:00","Fedun","Leonid","Russia","67"
"263","Bernard Marcus","M","1929-05-12 00:00:00","Marcus","Bernard","United States","94"
"264","Patrick Ryan","M","1937-05-15 00:00:00","Ryan","Patrick","United States","86"
"265","Robert F. Smith","M","1962-12-01 00:00:00","Smith","Robert F.","United States","61"
"266","Pavel Tykac","M","1964-05-15 00:00:00","Tykac","Pavel","Czech Republic","59"
"267","Eric Wittouck","M","1946-10-01 00:00:00","Wittouck","Eric","Belgium","77"
"268","Orlando Bravo","M","1970-09-23 00:00:00","Bravo","Orlando","United States","53"
"269","Ding Shizhong","M","1970-12-01 00:00:00","Ding","Shizhong","China","53"
"270","Nancy Walton Laurie","F","1951-05-15 00:00:00","Laurie","Nancy Walton","United States","72"
"271","Jay Y. Lee","M","1968-06-23 00:00:00","Lee","Jay Y.","South Korea","55"
"272","Ramzi Musallam","M","1968-09-17 00:00:00","Musallam","Ramzi","United States","55"
"273","David Shaw","M","1951-03-29 00:00:00","Shaw","David","United States","72"
"274","Andrei Skoch & family","M","1966-01-30 00:00:00","Skoch & family","Andrei","Russia","57"
"275","Georg Stumpf","M","1972-09-14 00:00:00","Stumpf","Georg","Austria","51"
"276","Rocco Commisso","M","1949-11-25 00:00:00","Commisso","Rocco","United States","74"
"277","Li Shuirong & family","M","1956-07-01 00:00:00","Li","Shuirong","China","67"
"278","Lin Shu-hong","M","1928-08-01 00:00:00","Lin","Shu-hong","Taiwan","95"
"279","Qi Shi & family","M","1970-01-03 00:00:00","Qi","Shi","China","53"
"280","Yao Liangsong","M","1964-08-01 00:00:00","Yao","Liangsong","China","59"
"281","Zhang Congyuan","M","1948-01-01 00:00:00","Zhang","Congyuan","Taiwan","75"
"282","Jean-Michel Besnier","M","1967-06-05 00:00:00","Besnier","Jean-Michel","France","56"
"283","Marie Besnier Beauvalot","F","1980-07-30 00:00:00","Besnier Beauvalot","Marie","France","43"
"284","David Geffen","M","1943-02-21 00:00:00","Geffen","David","United States","80"
"285","Robin Li","M","1968-11-17 00:00:00","Li","Robin","China","55"
"286","Liu Yonghao & family","M","1951-09-01 00:00:00","Liu","Yonghao","China","72"
"287","Henry Samueli","M","1954-09-20 00:00:00","Samueli","Henry","United States","69"
"288","Reinhold Schmieding","M","1955-01-03 00:00:00","Schmieding","Reinhold","United States","68"
"289","Ivar Tollefsen","M","1961-06-23 00:00:00","Tollefsen","Ivar","Norway","62"
"290","Cao Renxian","M","1968-07-24 00:00:00","Cao","Renxian","China","55"
"291","Hasmukh Chudgar & family","M","1933-09-19 00:00:00","Chudgar","Hasmukh","India","90"
"292","Andrew Currie","M","1955-12-04 00:00:00","Currie","Andrew","United Kingdom","68"
"293","Joe Gebbia","M","1981-08-21 00:00:00","Gebbia","Joe","United States","42"
"294","Philip Ng","M","1959-01-01 00:00:00","Ng","Philip","Singapore","64"
"295","John Reece","M","1957-03-07 00:00:00","Reece","John","United Kingdom","66"
"296","Leonard Stern","M","1938-03-28 00:00:00","Stern","Leonard","United States","85"
"297","Joseph Tsai","M","1964-01-19 00:00:00","Tsai","Joseph","Canada","59"
"298","Zhong Huijuan","F","1961-01-01 00:00:00","Zhong","Huijuan","China","62"
"299","Arthur Blank","M","1942-09-27 00:00:00","Blank","Arthur","United States","81"
"300","Charles Butt","M","1938-02-03 00:00:00","Butt","Charles","United States","85"
"301","Ding Shijia","M","1964-01-01 00:00:00","Ding","Shijia","China","59"
"302","Paul Tudor Jones, II.","M","1954-09-28 00:00:00","Jones","Paul Tudor","United States","69"
"303","Henry Kravis","M","1944-01-06 00:00:00","Kravis","Henry","United States","79"
"304","Zhang Yong","M","1970-07-01 00:00:00","Zhang","Yong","Singapore","53"
"305","James Goodnight","M","1943-01-06 04:00:00","Goodnight","James","United States","80"
"306","Sri Prakash Lohia","M","1952-08-11 00:00:00","Lohia","Sri Prakash","Indonesia","71"
"307","Ma Jianrong","M","1964-01-01 00:00:00","Ma","Jianrong","China","59"
"308","Robert Ng","M","1952-01-01 00:00:00","Ng","Robert","Singapore","71"
"309","Steven Rales","M","1951-03-31 00:00:00","Rales","Steven","United States","72"
"310","Nassef Sawiris","M","1961-01-19 00:00:00","Sawiris","Nassef","Egypt","62"
"311","Harry Stine","M","1941-11-30 00:00:00","Stine","Harry","United States","82"
"312","Benu Gopal Bangur","M","1931-06-01 00:00:00","Bangur","Benu Gopal","India","92"
"313","Iskander Makhmudov","M","1963-12-05 00:00:00","Makhmudov","Iskander","Russia","60"
"314","Anders Holch Povlsen","M","1972-11-04 00:00:00","Povlsen","Anders Holch","Denmark","51"
